;Zeit;L Aeq, T=1s;L AFmax, T=1s;
;18.01.2016   09:21:52;51,0 dB(A);51,7 dB(A);
;18.01.2016   09:21:53;53,0 dB(A);54,8 dB(A);
;18.01.2016   09:21:54;56,1 dB(A);61,5 dB(A);
;18.01.2016   09:21:55;53,0 dB(A);56,9 dB(A);
;18.01.2016   09:21:56;54,0 dB(A);56,9 dB(A);
;18.01.2016   09:21:57;54,2 dB(A);58,6 dB(A);
;18.01.2016   09:21:58;53,5 dB(A);55,3 dB(A);
;18.01.2016   09:21:59;54,3 dB(A);55,4 dB(A);
;18.01.2016   09:22:01;51,3 dB(A);51,5 dB(A);
;18.01.2016   09:22:02;50,5 dB(A);51,0 dB(A);
;18.01.2016   09:22:03;53,1 dB(A);54,7 dB(A);
;18.01.2016   09:22:04;50,8 dB(A);51,9 dB(A);
;18.01.2016   09:22:05;51,8 dB(A);52,2 dB(A);
;18.01.2016   09:22:06;51,0 dB(A);51,9 dB(A);
;18.01.2016   09:22:07;51,0 dB(A);51,5 dB(A);
;18.01.2016   09:22:08;52,1 dB(A);52,6 dB(A);
;18.01.2016   09:22:09;53,9 dB(A);55,2 dB(A);
;18.01.2016   09:22:10;51,6 dB(A);52,9 dB(A);
;18.01.2016   09:22:11;51,1 dB(A);51,5 dB(A);
;18.01.2016   09:22:12;51,9 dB(A);54,4 dB(A);
;18.01.2016   09:22:13;51,0 dB(A);52,4 dB(A);
;18.01.2016   09:22:14;51,0 dB(A);51,8 dB(A);
;18.01.2016   09:22:15;50,4 dB(A);50,6 dB(A);
;18.01.2016   09:22:16;53,5 dB(A);57,7 dB(A);
;18.01.2016   09:22:17;51,0 dB(A);52,0 dB(A);
;18.01.2016   09:22:18;50,9 dB(A);52,6 dB(A);
;18.01.2016   09:22:19;51,1 dB(A);51,9 dB(A);
;18.01.2016   09:22:20;50,8 dB(A);51,5 dB(A);
;18.01.2016   09:22:21;51,1 dB(A);52,5 dB(A);
;18.01.2016   09:22:22;53,5 dB(A);54,3 dB(A);
;18.01.2016   09:22:23;54,2 dB(A);55,4 dB(A);
;18.01.2016   09:22:24;55,6 dB(A);57,1 dB(A);
;18.01.2016   09:22:25;52,6 dB(A);54,0 dB(A);
;18.01.2016   09:22:26;53,7 dB(A);56,8 dB(A);
;18.01.2016   09:22:27;52,2 dB(A);52,7 dB(A);
;18.01.2016   09:22:28;52,6 dB(A);53,3 dB(A);
;18.01.2016   09:22:29;51,5 dB(A);51,9 dB(A);
;18.01.2016   09:22:30;52,0 dB(A);52,4 dB(A);
;18.01.2016   09:22:31;52,0 dB(A);53,2 dB(A);
;18.01.2016   09:22:32;53,0 dB(A);54,0 dB(A);
;18.01.2016   09:22:33;51,6 dB(A);52,4 dB(A);
;18.01.2016   09:22:34;51,1 dB(A);51,4 dB(A);
;18.01.2016   09:22:35;50,8 dB(A);51,2 dB(A);
;18.01.2016   09:22:36;52,0 dB(A);53,1 dB(A);
;18.01.2016   09:22:37;54,3 dB(A);56,3 dB(A);
;18.01.2016   09:22:38;59,2 dB(A);60,1 dB(A);
;18.01.2016   09:22:39;55,6 dB(A);57,8 dB(A);
;18.01.2016   09:22:40;53,5 dB(A);54,9 dB(A);
;18.01.2016   09:22:41;51,3 dB(A);52,0 dB(A);
;18.01.2016   09:22:42;55,4 dB(A);61,9 dB(A);
;18.01.2016   09:22:43;52,6 dB(A);57,0 dB(A);
;18.01.2016   09:22:44;50,2 dB(A);50,6 dB(A);
;18.01.2016   09:22:45;50,8 dB(A);51,4 dB(A);
;18.01.2016   09:22:46;50,9 dB(A);51,2 dB(A);
;18.01.2016   09:22:47;52,4 dB(A);55,7 dB(A);
;18.01.2016   09:22:48;50,8 dB(A);51,1 dB(A);
;18.01.2016   09:22:49;50,3 dB(A);50,8 dB(A);
;18.01.2016   09:22:50;50,5 dB(A);50,8 dB(A);
;18.01.2016   09:22:51;51,9 dB(A);52,7 dB(A);
;18.01.2016   09:22:52;52,5 dB(A);53,0 dB(A);
;18.01.2016   09:22:53;53,7 dB(A);54,2 dB(A);
;18.01.2016   09:22:54;52,3 dB(A);52,8 dB(A);
;18.01.2016   09:22:55;51,7 dB(A);52,1 dB(A);
;18.01.2016   09:22:56;51,3 dB(A);52,0 dB(A);
;18.01.2016   09:22:57;57,0 dB(A);62,9 dB(A);
;18.01.2016   09:22:58;51,6 dB(A);53,0 dB(A);
;18.01.2016   09:22:59;51,2 dB(A);51,7 dB(A);
;18.01.2016   09:23:01;50,7 dB(A);51,4 dB(A);
;18.01.2016   09:23:02;50,7 dB(A);51,3 dB(A);
;18.01.2016   09:23:03;50,8 dB(A);51,4 dB(A);
;18.01.2016   09:23:04;50,7 dB(A);51,1 dB(A);
;18.01.2016   09:23:05;51,1 dB(A);51,7 dB(A);
;18.01.2016   09:23:06;50,4 dB(A);51,0 dB(A);
;18.01.2016   09:23:07;50,2 dB(A);50,6 dB(A);
;18.01.2016   09:23:08;50,2 dB(A);50,6 dB(A);
;18.01.2016   09:23:09;56,1 dB(A);61,3 dB(A);
;18.01.2016   09:23:10;53,7 dB(A);54,5 dB(A);
;18.01.2016   09:23:11;55,1 dB(A);56,7 dB(A);
;18.01.2016   09:23:12;53,3 dB(A);53,9 dB(A);
;18.01.2016   09:23:13;51,8 dB(A);52,8 dB(A);
;18.01.2016   09:23:14;51,4 dB(A);52,9 dB(A);
;18.01.2016   09:23:15;50,7 dB(A);50,9 dB(A);
;18.01.2016   09:23:16;50,3 dB(A);50,7 dB(A);
;18.01.2016   09:23:17;54,4 dB(A);60,2 dB(A);
;18.01.2016   09:23:18;52,8 dB(A);57,2 dB(A);
;18.01.2016   09:23:19;50,3 dB(A);51,6 dB(A);
;18.01.2016   09:23:20;49,9 dB(A);50,2 dB(A);
;18.01.2016   09:23:21;49,9 dB(A);50,3 dB(A);
;18.01.2016   09:23:22;49,8 dB(A);50,2 dB(A);
;18.01.2016   09:23:23;49,9 dB(A);50,5 dB(A);
;18.01.2016   09:23:24;50,4 dB(A);50,7 dB(A);
;18.01.2016   09:23:25;51,0 dB(A);51,5 dB(A);
;18.01.2016   09:23:26;53,1 dB(A);54,2 dB(A);
;18.01.2016   09:23:27;52,3 dB(A);53,3 dB(A);
;18.01.2016   09:23:28;52,7 dB(A);53,3 dB(A);
;18.01.2016   09:23:29;51,0 dB(A);52,5 dB(A);
;18.01.2016   09:23:30;51,7 dB(A);53,7 dB(A);
;18.01.2016   09:23:31;49,9 dB(A);50,8 dB(A);
;18.01.2016   09:23:32;49,5 dB(A);50,0 dB(A);
;18.01.2016   09:23:33;50,3 dB(A);51,3 dB(A);
;18.01.2016   09:23:34;49,5 dB(A);50,1 dB(A);
;18.01.2016   09:23:35;49,4 dB(A);50,1 dB(A);
;18.01.2016   09:23:36;49,2 dB(A);49,5 dB(A);
;18.01.2016   09:23:37;49,5 dB(A);50,0 dB(A);
;18.01.2016   09:23:38;49,2 dB(A);49,4 dB(A);
;18.01.2016   09:23:39;49,6 dB(A);49,9 dB(A);
;18.01.2016   09:23:40;50,8 dB(A);51,4 dB(A);
;18.01.2016   09:23:41;52,5 dB(A);53,6 dB(A);
;18.01.2016   09:23:42;52,9 dB(A);54,2 dB(A);
;18.01.2016   09:23:43;52,5 dB(A);53,1 dB(A);
;18.01.2016   09:23:44;51,7 dB(A);52,7 dB(A);
;18.01.2016   09:23:45;51,9 dB(A);53,6 dB(A);
;18.01.2016   09:23:46;49,4 dB(A);49,9 dB(A);
;18.01.2016   09:23:47;53,9 dB(A);59,6 dB(A);
;18.01.2016   09:23:48;49,2 dB(A);49,5 dB(A);
;18.01.2016   09:23:49;49,2 dB(A);49,9 dB(A);
;18.01.2016   09:23:50;49,7 dB(A);50,4 dB(A);
;18.01.2016   09:23:51;50,6 dB(A);51,0 dB(A);
;18.01.2016   09:23:52;60,1 dB(A);65,6 dB(A);
;18.01.2016   09:23:53;57,2 dB(A);58,2 dB(A);
;18.01.2016   09:23:54;59,2 dB(A);64,5 dB(A);
;18.01.2016   09:23:55;51,3 dB(A);54,1 dB(A);
;18.01.2016   09:23:56;52,2 dB(A);54,9 dB(A);
;18.01.2016   09:23:57;50,3 dB(A);51,0 dB(A);
;18.01.2016   09:23:58;52,0 dB(A);54,3 dB(A);
;18.01.2016   09:23:59;63,9 dB(A);70,6 dB(A);
;18.01.2016   09:24:01;56,8 dB(A);58,0 dB(A);
;18.01.2016   09:24:02;57,2 dB(A);58,9 dB(A);
;18.01.2016   09:24:03;58,4 dB(A);59,4 dB(A);
;18.01.2016   09:24:04;55,2 dB(A);56,1 dB(A);
;18.01.2016   09:24:05;55,6 dB(A);57,1 dB(A);
;18.01.2016   09:24:06;55,9 dB(A);56,5 dB(A);
;18.01.2016   09:24:07;54,7 dB(A);55,0 dB(A);
;18.01.2016   09:24:08;54,7 dB(A);55,3 dB(A);
;18.01.2016   09:24:09;53,2 dB(A);54,2 dB(A);
;18.01.2016   09:24:10;51,4 dB(A);52,1 dB(A);
;18.01.2016   09:24:11;51,7 dB(A);54,5 dB(A);
;18.01.2016   09:24:12;55,1 dB(A);56,4 dB(A);
;18.01.2016   09:24:13;54,4 dB(A);56,5 dB(A);
;18.01.2016   09:24:14;57,3 dB(A);61,2 dB(A);
;18.01.2016   09:24:15;58,5 dB(A);61,2 dB(A);
;18.01.2016   09:24:16;53,3 dB(A);53,6 dB(A);
;18.01.2016   09:24:17;53,0 dB(A);53,4 dB(A);
;18.01.2016   09:24:18;52,7 dB(A);53,1 dB(A);
;18.01.2016   09:24:19;52,3 dB(A);53,1 dB(A);
;18.01.2016   09:24:20;57,6 dB(A);60,2 dB(A);
;18.01.2016   09:24:21;56,6 dB(A);57,1 dB(A);
;18.01.2016   09:24:22;53,5 dB(A);56,5 dB(A);
;18.01.2016   09:24:23;52,0 dB(A);52,5 dB(A);
;18.01.2016   09:24:24;54,2 dB(A);58,8 dB(A);
;18.01.2016   09:24:25;52,0 dB(A);53,3 dB(A);
;18.01.2016   09:24:26;51,4 dB(A);51,8 dB(A);
;18.01.2016   09:24:27;51,4 dB(A);51,7 dB(A);
;18.01.2016   09:24:28;51,3 dB(A);51,7 dB(A);
;18.01.2016   09:24:29;51,5 dB(A);51,9 dB(A);
;18.01.2016   09:24:30;51,6 dB(A);52,5 dB(A);
;18.01.2016   09:24:31;51,2 dB(A);51,8 dB(A);
;18.01.2016   09:24:32;51,7 dB(A);52,5 dB(A);
;18.01.2016   09:24:33;51,8 dB(A);52,1 dB(A);
;18.01.2016   09:24:34;52,1 dB(A);52,4 dB(A);
;18.01.2016   09:24:35;54,8 dB(A);55,9 dB(A);
;18.01.2016   09:24:36;55,1 dB(A);55,9 dB(A);
;18.01.2016   09:24:37;53,3 dB(A);55,4 dB(A);
;18.01.2016   09:24:38;52,4 dB(A);52,9 dB(A);
;18.01.2016   09:24:39;52,0 dB(A);52,4 dB(A);
;18.01.2016   09:24:40;52,1 dB(A);52,9 dB(A);
;18.01.2016   09:24:41;55,0 dB(A);55,8 dB(A);
;18.01.2016   09:24:42;52,5 dB(A);53,5 dB(A);
;18.01.2016   09:24:43;52,4 dB(A);52,9 dB(A);
;18.01.2016   09:24:44;52,7 dB(A);53,0 dB(A);
;18.01.2016   09:24:45;51,9 dB(A);52,3 dB(A);
;18.01.2016   09:24:46;54,0 dB(A);55,9 dB(A);
;18.01.2016   09:24:47;51,6 dB(A);52,0 dB(A);
;18.01.2016   09:24:48;51,4 dB(A);51,9 dB(A);
;18.01.2016   09:24:49;51,8 dB(A);52,8 dB(A);
;18.01.2016   09:24:50;51,5 dB(A);51,9 dB(A);
;18.01.2016   09:24:51;52,0 dB(A);54,2 dB(A);
;18.01.2016   09:24:52;56,2 dB(A);57,1 dB(A);
;18.01.2016   09:24:53;54,8 dB(A);55,6 dB(A);
;18.01.2016   09:24:54;52,1 dB(A);53,4 dB(A);
