;Zeit;L Aeq, T=1s;L AFmax, T=1s;
;18.01.2016   09:55:48;48,9 dB(A);49,2 dB(A);
;18.01.2016   09:55:49;48,2 dB(A);48,6 dB(A);
;18.01.2016   09:55:50;51,8 dB(A);56,7 dB(A);
;18.01.2016   09:55:51;49,4 dB(A);49,9 dB(A);
;18.01.2016   09:55:52;49,3 dB(A);49,5 dB(A);
;18.01.2016   09:55:53;51,1 dB(A);53,2 dB(A);
;18.01.2016   09:55:54;52,5 dB(A);53,3 dB(A);
;18.01.2016   09:55:55;53,7 dB(A);54,8 dB(A);
;18.01.2016   09:55:56;53,5 dB(A);54,3 dB(A);
;18.01.2016   09:55:57;60,2 dB(A);61,7 dB(A);
;18.01.2016   09:55:58;51,5 dB(A);54,5 dB(A);
;18.01.2016   09:55:59;50,2 dB(A);50,5 dB(A);
;18.01.2016   09:56:01;50,2 dB(A);50,7 dB(A);
;18.01.2016   09:56:02;52,5 dB(A);58,6 dB(A);
;18.01.2016   09:56:03;59,8 dB(A);61,5 dB(A);
;18.01.2016   09:56:04;59,8 dB(A);61,9 dB(A);
;18.01.2016   09:56:05;51,7 dB(A);54,7 dB(A);
;18.01.2016   09:56:06;49,1 dB(A);49,3 dB(A);
;18.01.2016   09:56:07;49,1 dB(A);49,5 dB(A);
;18.01.2016   09:56:08;49,1 dB(A);49,3 dB(A);
;18.01.2016   09:56:09;49,2 dB(A);49,4 dB(A);
;18.01.2016   09:56:10;49,4 dB(A);49,8 dB(A);
;18.01.2016   09:56:11;49,0 dB(A);49,3 dB(A);
;18.01.2016   09:56:12;48,9 dB(A);49,2 dB(A);
;18.01.2016   09:56:13;48,5 dB(A);48,7 dB(A);
;18.01.2016   09:56:14;48,8 dB(A);49,2 dB(A);
;18.01.2016   09:56:15;48,9 dB(A);49,2 dB(A);
;18.01.2016   09:56:16;49,2 dB(A);49,5 dB(A);
;18.01.2016   09:56:17;49,0 dB(A);49,3 dB(A);
;18.01.2016   09:56:18;52,9 dB(A);58,6 dB(A);
;18.01.2016   09:56:19;58,8 dB(A);61,2 dB(A);
;18.01.2016   09:56:20;50,6 dB(A);52,2 dB(A);
;18.01.2016   09:56:21;49,2 dB(A);50,0 dB(A);
;18.01.2016   09:56:22;50,6 dB(A);52,8 dB(A);
;18.01.2016   09:56:23;48,7 dB(A);49,3 dB(A);
;18.01.2016   09:56:24;49,2 dB(A);50,7 dB(A);
;18.01.2016   09:56:25;48,7 dB(A);50,0 dB(A);
;18.01.2016   09:56:26;52,4 dB(A);57,4 dB(A);
;18.01.2016   09:56:27;59,2 dB(A);60,0 dB(A);
;18.01.2016   09:56:28;56,0 dB(A);57,4 dB(A);
;18.01.2016   09:56:29;50,2 dB(A);53,7 dB(A);
;18.01.2016   09:56:30;48,8 dB(A);49,2 dB(A);
;18.01.2016   09:56:31;53,9 dB(A);60,0 dB(A);
;18.01.2016   09:56:32;48,0 dB(A);48,3 dB(A);
;18.01.2016   09:56:33;48,4 dB(A);48,6 dB(A);
;18.01.2016   09:56:34;51,2 dB(A);57,3 dB(A);
;18.01.2016   09:56:35;61,7 dB(A);62,8 dB(A);
;18.01.2016   09:56:36;58,6 dB(A);61,4 dB(A);
;18.01.2016   09:56:37;54,1 dB(A);57,6 dB(A);
;18.01.2016   09:56:38;49,1 dB(A);49,6 dB(A);
;18.01.2016   09:56:39;48,5 dB(A);48,9 dB(A);
;18.01.2016   09:56:40;48,2 dB(A);48,5 dB(A);
;18.01.2016   09:56:41;48,1 dB(A);48,3 dB(A);
;18.01.2016   09:56:42;48,2 dB(A);48,4 dB(A);
;18.01.2016   09:56:43;48,3 dB(A);48,8 dB(A);
;18.01.2016   09:56:44;48,1 dB(A);48,5 dB(A);
;18.01.2016   09:56:45;48,2 dB(A);48,5 dB(A);
;18.01.2016   09:56:46;48,3 dB(A);48,4 dB(A);
;18.01.2016   09:56:47;55,0 dB(A);61,2 dB(A);
;18.01.2016   09:56:48;59,2 dB(A);62,3 dB(A);
;18.01.2016   09:56:49;50,8 dB(A);53,9 dB(A);
;18.01.2016   09:56:50;51,8 dB(A);58,5 dB(A);
;18.01.2016   09:56:51;57,4 dB(A);60,6 dB(A);
;18.01.2016   09:56:52;49,5 dB(A);49,9 dB(A);
;18.01.2016   09:56:53;48,8 dB(A);49,3 dB(A);
;18.01.2016   09:56:54;49,4 dB(A);50,1 dB(A);
;18.01.2016   09:56:55;50,2 dB(A);53,8 dB(A);
;18.01.2016   09:56:56;47,9 dB(A);48,4 dB(A);
;18.01.2016   09:56:57;48,1 dB(A);48,3 dB(A);
;18.01.2016   09:56:58;48,1 dB(A);48,3 dB(A);
;18.01.2016   09:56:59;48,5 dB(A);49,1 dB(A);
;18.01.2016   09:57:01;47,6 dB(A);47,8 dB(A);
;18.01.2016   09:57:02;47,6 dB(A);47,8 dB(A);
;18.01.2016   09:57:03;47,9 dB(A);48,2 dB(A);
;18.01.2016   09:57:04;48,3 dB(A);48,7 dB(A);
;18.01.2016   09:57:05;47,8 dB(A);48,1 dB(A);
;18.01.2016   09:57:06;47,7 dB(A);48,0 dB(A);
;18.01.2016   09:57:07;59,4 dB(A);62,2 dB(A);
;18.01.2016   09:57:08;58,7 dB(A);61,2 dB(A);
;18.01.2016   09:57:09;58,3 dB(A);63,7 dB(A);
;18.01.2016   09:57:10;58,9 dB(A);62,2 dB(A);
;18.01.2016   09:57:11;53,3 dB(A);54,7 dB(A);
;18.01.2016   09:57:12;50,0 dB(A);51,7 dB(A);
;18.01.2016   09:57:13;58,8 dB(A);59,9 dB(A);
;18.01.2016   09:57:14;59,1 dB(A);60,0 dB(A);
;18.01.2016   09:57:15;59,4 dB(A);62,0 dB(A);
;18.01.2016   09:57:16;62,7 dB(A);64,3 dB(A);
;18.01.2016   09:57:17;51,9 dB(A);56,0 dB(A);
;18.01.2016   09:57:18;48,6 dB(A);49,1 dB(A);
;18.01.2016   09:57:19;48,8 dB(A);50,6 dB(A);
;18.01.2016   09:57:20;48,2 dB(A);48,6 dB(A);
;18.01.2016   09:57:21;48,7 dB(A);49,1 dB(A);
;18.01.2016   09:57:22;48,8 dB(A);49,2 dB(A);
;18.01.2016   09:57:23;48,4 dB(A);48,8 dB(A);
;18.01.2016   09:57:24;47,5 dB(A);47,7 dB(A);
;18.01.2016   09:57:25;48,4 dB(A);48,9 dB(A);
;18.01.2016   09:57:26;48,9 dB(A);49,2 dB(A);
;18.01.2016   09:57:27;48,8 dB(A);49,1 dB(A);
;18.01.2016   09:57:28;48,8 dB(A);49,4 dB(A);
;18.01.2016   09:57:29;48,3 dB(A);48,6 dB(A);
;18.01.2016   09:57:30;56,1 dB(A);61,4 dB(A);
;18.01.2016   09:57:31;60,5 dB(A);63,8 dB(A);
;18.01.2016   09:57:32;51,5 dB(A);53,5 dB(A);
;18.01.2016   09:57:33;48,8 dB(A);49,2 dB(A);
;18.01.2016   09:57:34;48,2 dB(A);48,8 dB(A);
;18.01.2016   09:57:35;49,0 dB(A);49,7 dB(A);
;18.01.2016   09:57:36;49,2 dB(A);50,5 dB(A);
;18.01.2016   09:57:37;60,0 dB(A);63,4 dB(A);
;18.01.2016   09:57:38;56,9 dB(A);59,0 dB(A);
;18.01.2016   09:57:39;52,1 dB(A);55,3 dB(A);
;18.01.2016   09:57:40;49,5 dB(A);50,2 dB(A);
;18.01.2016   09:57:41;49,1 dB(A);51,1 dB(A);
;18.01.2016   09:57:42;58,9 dB(A);61,3 dB(A);
;18.01.2016   09:57:43;52,9 dB(A);55,5 dB(A);
;18.01.2016   09:57:44;51,1 dB(A);53,7 dB(A);
;18.01.2016   09:57:45;50,8 dB(A);52,9 dB(A);
;18.01.2016   09:57:46;49,0 dB(A);50,5 dB(A);
;18.01.2016   09:57:47;54,0 dB(A);56,1 dB(A);
;18.01.2016   09:57:48;62,0 dB(A);64,2 dB(A);
;18.01.2016   09:57:49;51,8 dB(A);55,0 dB(A);
;18.01.2016   09:57:50;52,2 dB(A);54,2 dB(A);
;18.01.2016   09:57:51;49,4 dB(A);50,5 dB(A);
;18.01.2016   09:57:52;49,2 dB(A);50,5 dB(A);
;18.01.2016   09:57:53;60,3 dB(A);64,0 dB(A);
;18.01.2016   09:57:54;57,7 dB(A);63,3 dB(A);
;18.01.2016   09:57:55;52,0 dB(A);55,0 dB(A);
;18.01.2016   09:57:56;49,0 dB(A);49,3 dB(A);
;18.01.2016   09:57:57;49,4 dB(A);50,5 dB(A);
;18.01.2016   09:57:58;49,1 dB(A);49,6 dB(A);
;18.01.2016   09:57:59;48,9 dB(A);49,6 dB(A);
;18.01.2016   09:58:01;54,6 dB(A);58,3 dB(A);
;18.01.2016   09:58:02;50,8 dB(A);53,7 dB(A);
;18.01.2016   09:58:03;48,5 dB(A);49,0 dB(A);
;18.01.2016   09:58:04;48,5 dB(A);49,4 dB(A);
;18.01.2016   09:58:05;58,1 dB(A);61,3 dB(A);
;18.01.2016   09:58:06;51,6 dB(A);53,2 dB(A);
;18.01.2016   09:58:07;49,0 dB(A);49,4 dB(A);
;18.01.2016   09:58:08;48,6 dB(A);49,2 dB(A);
;18.01.2016   09:58:09;48,6 dB(A);49,0 dB(A);
;18.01.2016   09:58:10;48,7 dB(A);49,0 dB(A);
;18.01.2016   09:58:11;49,0 dB(A);50,2 dB(A);
;18.01.2016   09:58:12;48,7 dB(A);49,1 dB(A);
;18.01.2016   09:58:13;57,8 dB(A);61,9 dB(A);
;18.01.2016   09:58:14;48,5 dB(A);49,1 dB(A);
;18.01.2016   09:58:15;55,4 dB(A);59,3 dB(A);
;18.01.2016   09:58:16;50,3 dB(A);53,2 dB(A);
;18.01.2016   09:58:17;49,8 dB(A);54,7 dB(A);
;18.01.2016   09:58:18;59,1 dB(A);61,1 dB(A);
;18.01.2016   09:58:19;51,8 dB(A);56,3 dB(A);
;18.01.2016   09:58:20;52,5 dB(A);56,4 dB(A);
;18.01.2016   09:58:21;48,7 dB(A);49,0 dB(A);
;18.01.2016   09:58:22;48,5 dB(A);49,1 dB(A);
;18.01.2016   09:58:23;48,6 dB(A);49,2 dB(A);
;18.01.2016   09:58:24;51,5 dB(A);57,4 dB(A);
;18.01.2016   09:58:25;56,2 dB(A);59,3 dB(A);
;18.01.2016   09:58:26;49,2 dB(A);50,4 dB(A);
;18.01.2016   09:58:27;48,8 dB(A);49,0 dB(A);
;18.01.2016   09:58:28;58,7 dB(A);62,2 dB(A);
;18.01.2016   09:58:29;54,8 dB(A);59,6 dB(A);
;18.01.2016   09:58:30;49,0 dB(A);49,5 dB(A);
;18.01.2016   09:58:31;48,5 dB(A);48,9 dB(A);
;18.01.2016   09:58:32;56,9 dB(A);60,9 dB(A);
;18.01.2016   09:58:33;50,5 dB(A);53,2 dB(A);
;18.01.2016   09:58:34;49,0 dB(A);49,5 dB(A);
;18.01.2016   09:58:35;48,7 dB(A);49,0 dB(A);
;18.01.2016   09:58:36;50,6 dB(A);56,9 dB(A);
;18.01.2016   09:58:37;58,8 dB(A);60,9 dB(A);
;18.01.2016   09:58:38;52,5 dB(A);55,5 dB(A);
;18.01.2016   09:58:39;49,0 dB(A);49,7 dB(A);
;18.01.2016   09:58:40;48,6 dB(A);49,2 dB(A);
;18.01.2016   09:58:41;55,6 dB(A);60,8 dB(A);
;18.01.2016   09:58:42;60,4 dB(A);61,5 dB(A);
;18.01.2016   09:58:43;61,9 dB(A);64,7 dB(A);
;18.01.2016   09:58:44;52,3 dB(A);56,4 dB(A);
;18.01.2016   09:58:45;49,2 dB(A);49,5 dB(A);
;18.01.2016   09:58:46;48,9 dB(A);49,1 dB(A);
;18.01.2016   09:58:47;48,9 dB(A);49,1 dB(A);
;18.01.2016   09:58:48;48,9 dB(A);49,2 dB(A);
;18.01.2016   09:58:49;54,9 dB(A);59,6 dB(A);
;18.01.2016   09:58:50;62,3 dB(A);63,7 dB(A);
;18.01.2016   09:58:51;57,4 dB(A);62,4 dB(A);
;18.01.2016   09:58:52;50,0 dB(A);50,9 dB(A);
;18.01.2016   09:58:53;49,0 dB(A);49,3 dB(A);
;18.01.2016   09:58:54;48,6 dB(A);49,1 dB(A);
;18.01.2016   09:58:55;55,1 dB(A);60,2 dB(A);
;18.01.2016   09:58:56;60,1 dB(A);62,9 dB(A);
;18.01.2016   09:58:57;58,5 dB(A);61,8 dB(A);
;18.01.2016   09:58:58;49,9 dB(A);50,8 dB(A);
;18.01.2016   09:58:59;48,8 dB(A);49,2 dB(A);
;18.01.2016   09:59:01;49,4 dB(A);49,6 dB(A);
;18.01.2016   09:59:02;49,5 dB(A);50,1 dB(A);
;18.01.2016   09:59:03;49,2 dB(A);49,5 dB(A);
;18.01.2016   09:59:04;50,9 dB(A);56,5 dB(A);
;18.01.2016   09:59:05;57,8 dB(A);58,5 dB(A);
;18.01.2016   09:59:06;59,4 dB(A);60,0 dB(A);
;18.01.2016   09:59:07;58,7 dB(A);59,9 dB(A);
;18.01.2016   09:59:08;57,6 dB(A);60,2 dB(A);
;18.01.2016   09:59:09;56,2 dB(A);57,4 dB(A);
;18.01.2016   09:59:10;51,2 dB(A);54,1 dB(A);
;18.01.2016   09:59:11;49,0 dB(A);49,3 dB(A);
;18.01.2016   09:59:12;48,9 dB(A);49,6 dB(A);
;18.01.2016   09:59:13;48,5 dB(A);48,9 dB(A);
;18.01.2016   09:59:14;48,4 dB(A);48,5 dB(A);
;18.01.2016   09:59:15;50,0 dB(A);53,5 dB(A);
;18.01.2016   09:59:16;55,9 dB(A);61,6 dB(A);
;18.01.2016   09:59:17;62,1 dB(A);63,9 dB(A);
;18.01.2016   09:59:18;58,0 dB(A);63,8 dB(A);
;18.01.2016   09:59:19;49,0 dB(A);49,9 dB(A);
;18.01.2016   09:59:20;49,2 dB(A);49,6 dB(A);
;18.01.2016   09:59:21;51,5 dB(A);54,6 dB(A);
;18.01.2016   09:59:22;59,0 dB(A);62,6 dB(A);
;18.01.2016   09:59:23;58,9 dB(A);62,1 dB(A);
;18.01.2016   09:59:24;50,7 dB(A);52,7 dB(A);
;18.01.2016   09:59:25;49,2 dB(A);49,6 dB(A);
;18.01.2016   09:59:26;49,5 dB(A);51,3 dB(A);
;18.01.2016   09:59:27;51,0 dB(A);53,3 dB(A);
;18.01.2016   09:59:28;53,8 dB(A);58,3 dB(A);
;18.01.2016   09:59:29;51,9 dB(A);55,6 dB(A);
;18.01.2016   09:59:30;50,1 dB(A);54,9 dB(A);
;18.01.2016   09:59:31;57,1 dB(A);61,0 dB(A);
;18.01.2016   09:59:32;49,6 dB(A);50,8 dB(A);
;18.01.2016   09:59:33;59,0 dB(A);65,3 dB(A);
;18.01.2016   09:59:34;56,1 dB(A);60,5 dB(A);
;18.01.2016   09:59:35;49,5 dB(A);51,1 dB(A);
;18.01.2016   09:59:36;57,5 dB(A);61,6 dB(A);
;18.01.2016   09:59:37;53,2 dB(A);57,9 dB(A);
;18.01.2016   09:59:38;52,3 dB(A);58,3 dB(A);
;18.01.2016   09:59:39;54,0 dB(A);58,4 dB(A);
;18.01.2016   09:59:40;53,0 dB(A);58,0 dB(A);
;18.01.2016   09:59:41;49,5 dB(A);51,2 dB(A);
;18.01.2016   09:59:42;48,7 dB(A);48,8 dB(A);
;18.01.2016   09:59:43;60,6 dB(A);63,3 dB(A);
;18.01.2016   09:59:44;50,6 dB(A);53,4 dB(A);
;18.01.2016   09:59:45;51,1 dB(A);55,2 dB(A);
;18.01.2016   09:59:46;57,2 dB(A);60,6 dB(A);
;18.01.2016   09:59:47;56,9 dB(A);58,4 dB(A);
;18.01.2016   09:59:48;49,9 dB(A);51,7 dB(A);
;18.01.2016   09:59:49;50,0 dB(A);54,8 dB(A);
;18.01.2016   09:59:50;56,9 dB(A);60,3 dB(A);
;18.01.2016   09:59:51;49,6 dB(A);50,1 dB(A);
;18.01.2016   09:59:52;49,5 dB(A);52,3 dB(A);
;18.01.2016   09:59:53;50,1 dB(A);52,3 dB(A);
;18.01.2016   09:59:54;56,2 dB(A);59,4 dB(A);
;18.01.2016   09:59:55;49,5 dB(A);50,7 dB(A);
;18.01.2016   09:59:56;55,9 dB(A);62,2 dB(A);
;18.01.2016   09:59:57;56,4 dB(A);59,7 dB(A);
;18.01.2016   09:59:58;50,2 dB(A);52,5 dB(A);
;18.01.2016   09:59:59;56,6 dB(A);62,7 dB(A);
;18.01.2016   10:00:01;49,1 dB(A);50,0 dB(A);
;18.01.2016   10:00:02;51,4 dB(A);55,0 dB(A);
;18.01.2016   10:00:03;57,9 dB(A);64,6 dB(A);
;18.01.2016   10:00:08;48,8 dB(A);49,1 dB(A);
;18.01.2016   10:00:09;49,1 dB(A);49,5 dB(A);
;18.01.2016   10:00:10;49,7 dB(A);50,0 dB(A);
;18.01.2016   10:00:11;49,4 dB(A);49,5 dB(A);
;18.01.2016   10:00:12;49,0 dB(A);49,6 dB(A);
;18.01.2016   10:00:13;51,0 dB(A);57,2 dB(A);
;18.01.2016   10:00:14;58,7 dB(A);60,2 dB(A);
;18.01.2016   10:00:15;50,6 dB(A);53,2 dB(A);
;18.01.2016   10:00:16;49,2 dB(A);49,7 dB(A);
;18.01.2016   10:00:17;53,0 dB(A);59,3 dB(A);
;18.01.2016   10:00:18;58,1 dB(A);59,6 dB(A);
;18.01.2016   10:00:19;50,9 dB(A);53,0 dB(A);
;18.01.2016   10:00:20;51,6 dB(A);55,6 dB(A);
;18.01.2016   10:00:21;49,4 dB(A);50,4 dB(A);
;18.01.2016   10:00:22;48,7 dB(A);49,2 dB(A);
;18.01.2016   10:00:23;55,9 dB(A);59,9 dB(A);
;18.01.2016   10:00:24;50,9 dB(A);53,4 dB(A);
;18.01.2016   10:00:25;49,5 dB(A);49,6 dB(A);
;18.01.2016   10:00:26;56,6 dB(A);60,8 dB(A);
;18.01.2016   10:00:27;51,4 dB(A);54,8 dB(A);
;18.01.2016   10:00:28;49,1 dB(A);49,4 dB(A);
;18.01.2016   10:00:29;48,8 dB(A);49,1 dB(A);
;18.01.2016   10:00:30;61,2 dB(A);64,8 dB(A);
;18.01.2016   10:00:31;51,7 dB(A);55,3 dB(A);
;18.01.2016   10:00:32;49,3 dB(A);49,7 dB(A);
;18.01.2016   10:00:33;58,9 dB(A);62,4 dB(A);
;18.01.2016   10:00:34;50,6 dB(A);52,8 dB(A);
;18.01.2016   10:00:35;48,9 dB(A);49,2 dB(A);
;18.01.2016   10:00:36;49,1 dB(A);49,4 dB(A);
;18.01.2016   10:00:37;49,3 dB(A);49,9 dB(A);
;18.01.2016   10:00:38;58,3 dB(A);63,1 dB(A);
;18.01.2016   10:00:39;57,7 dB(A);63,0 dB(A);
;18.01.2016   10:00:40;49,7 dB(A);50,3 dB(A);
;18.01.2016   10:00:41;59,5 dB(A);62,6 dB(A);
;18.01.2016   10:00:42;49,8 dB(A);50,8 dB(A);
;18.01.2016   10:00:43;55,2 dB(A);59,2 dB(A);
;18.01.2016   10:00:44;51,1 dB(A);53,8 dB(A);
;18.01.2016   10:00:45;48,7 dB(A);49,1 dB(A);
;18.01.2016   10:00:46;54,7 dB(A);58,4 dB(A);
;18.01.2016   10:00:47;49,7 dB(A);50,4 dB(A);
;18.01.2016   10:00:48;50,3 dB(A);51,6 dB(A);
;18.01.2016   10:00:49;56,4 dB(A);60,4 dB(A);
;18.01.2016   10:00:50;53,5 dB(A);58,6 dB(A);
;18.01.2016   10:00:51;48,7 dB(A);49,1 dB(A);
;18.01.2016   10:00:52;49,0 dB(A);49,2 dB(A);
;18.01.2016   10:00:53;49,8 dB(A);50,0 dB(A);
;18.01.2016   10:00:54;49,7 dB(A);50,2 dB(A);
;18.01.2016   10:00:55;49,7 dB(A);50,1 dB(A);
;18.01.2016   10:00:56;58,4 dB(A);62,5 dB(A);
;18.01.2016   10:00:57;50,6 dB(A);51,3 dB(A);
;18.01.2016   10:00:58;49,8 dB(A);50,3 dB(A);
;18.01.2016   10:00:59;59,2 dB(A);63,3 dB(A);
;18.01.2016   10:01:01;50,1 dB(A);50,3 dB(A);
;18.01.2016   10:01:02;50,3 dB(A);50,8 dB(A);
;18.01.2016   10:01:03;50,3 dB(A);50,8 dB(A);
;18.01.2016   10:01:04;49,8 dB(A);50,0 dB(A);
;18.01.2016   10:01:05;51,1 dB(A);54,2 dB(A);
;18.01.2016   10:01:06;62,1 dB(A);65,5 dB(A);
;18.01.2016   10:01:07;52,3 dB(A);55,3 dB(A);
;18.01.2016   10:01:08;49,7 dB(A);49,8 dB(A);
;18.01.2016   10:01:09;49,7 dB(A);50,5 dB(A);
;18.01.2016   10:01:10;49,7 dB(A);50,3 dB(A);
;18.01.2016   10:01:11;50,1 dB(A);50,3 dB(A);
;18.01.2016   10:01:12;56,8 dB(A);61,3 dB(A);
;18.01.2016   10:01:13;54,9 dB(A);59,9 dB(A);
;18.01.2016   10:01:14;50,5 dB(A);53,7 dB(A);
;18.01.2016   10:01:15;56,5 dB(A);61,5 dB(A);
;18.01.2016   10:01:16;56,2 dB(A);60,8 dB(A);
;18.01.2016   10:01:17;50,2 dB(A);50,4 dB(A);
;18.01.2016   10:01:18;49,9 dB(A);50,5 dB(A);
;18.01.2016   10:01:19;60,4 dB(A);64,4 dB(A);
;18.01.2016   10:01:20;59,5 dB(A);63,9 dB(A);
;18.01.2016   10:01:21;60,1 dB(A);63,6 dB(A);
;18.01.2016   10:01:22;57,0 dB(A);59,8 dB(A);
;18.01.2016   10:01:23;52,0 dB(A);53,2 dB(A);
;18.01.2016   10:01:24;51,0 dB(A);51,4 dB(A);
;18.01.2016   10:01:25;51,1 dB(A);51,4 dB(A);
;18.01.2016   10:01:26;59,4 dB(A);62,7 dB(A);
;18.01.2016   10:01:27;54,9 dB(A);56,4 dB(A);
;18.01.2016   10:01:28;51,3 dB(A);51,8 dB(A);
;18.01.2016   10:01:29;52,2 dB(A);57,1 dB(A);
;18.01.2016   10:01:30;61,6 dB(A);63,5 dB(A);
;18.01.2016   10:01:31;57,0 dB(A);60,6 dB(A);
;18.01.2016   10:01:32;51,0 dB(A);51,7 dB(A);
;18.01.2016   10:01:33;50,4 dB(A);50,6 dB(A);
;18.01.2016   10:01:34;49,8 dB(A);50,2 dB(A);
;18.01.2016   10:01:35;50,0 dB(A);50,4 dB(A);
;18.01.2016   10:01:36;50,5 dB(A);50,7 dB(A);
;18.01.2016   10:01:37;58,4 dB(A);62,5 dB(A);
;18.01.2016   10:01:38;53,1 dB(A);56,7 dB(A);
;18.01.2016   10:01:39;50,6 dB(A);51,9 dB(A);
;18.01.2016   10:01:40;50,4 dB(A);51,1 dB(A);
;18.01.2016   10:01:41;50,3 dB(A);50,5 dB(A);
;18.01.2016   10:01:42;61,3 dB(A);62,6 dB(A);
;18.01.2016   10:01:43;58,0 dB(A);61,4 dB(A);
;18.01.2016   10:01:44;51,7 dB(A);52,8 dB(A);
;18.01.2016   10:01:45;56,6 dB(A);62,5 dB(A);
;18.01.2016   10:01:46;52,8 dB(A);57,4 dB(A);
;18.01.2016   10:01:47;50,3 dB(A);50,5 dB(A);
;18.01.2016   10:01:48;50,1 dB(A);50,6 dB(A);
;18.01.2016   10:01:49;55,1 dB(A);59,3 dB(A);
;18.01.2016   10:01:50;52,6 dB(A);55,6 dB(A);
;18.01.2016   10:01:51;49,9 dB(A);50,6 dB(A);
;18.01.2016   10:01:52;50,2 dB(A);53,2 dB(A);
;18.01.2016   10:01:53;55,6 dB(A);59,4 dB(A);
;18.01.2016   10:01:54;50,1 dB(A);50,8 dB(A);
;18.01.2016   10:01:55;56,1 dB(A);60,5 dB(A);
;18.01.2016   10:01:56;50,9 dB(A);53,6 dB(A);
;18.01.2016   10:01:57;49,8 dB(A);50,1 dB(A);
;18.01.2016   10:01:58;49,7 dB(A);50,5 dB(A);
;18.01.2016   10:01:59;49,0 dB(A);49,3 dB(A);
;18.01.2016   10:02:01;54,8 dB(A);57,8 dB(A);
;18.01.2016   10:02:02;50,4 dB(A);51,3 dB(A);
;18.01.2016   10:02:03;49,3 dB(A);49,6 dB(A);
;18.01.2016   10:02:04;57,7 dB(A);61,0 dB(A);
;18.01.2016   10:02:05;50,1 dB(A);52,4 dB(A);
;18.01.2016   10:02:06;49,2 dB(A);49,5 dB(A);
;18.01.2016   10:02:07;49,3 dB(A);49,6 dB(A);
;18.01.2016   10:02:08;49,3 dB(A);49,6 dB(A);
;18.01.2016   10:02:09;49,7 dB(A);50,1 dB(A);
;18.01.2016   10:02:10;58,3 dB(A);61,8 dB(A);
;18.01.2016   10:02:11;50,7 dB(A);51,8 dB(A);
;18.01.2016   10:02:12;57,6 dB(A);62,0 dB(A);
;18.01.2016   10:02:13;52,1 dB(A);55,6 dB(A);
;18.01.2016   10:02:14;54,7 dB(A);60,5 dB(A);
;18.01.2016   10:02:15;55,0 dB(A);59,6 dB(A);
;18.01.2016   10:02:16;50,6 dB(A);51,6 dB(A);
;18.01.2016   10:02:17;58,1 dB(A);62,7 dB(A);
;18.01.2016   10:02:18;54,4 dB(A);57,2 dB(A);
;18.01.2016   10:02:19;49,9 dB(A);50,3 dB(A);
;18.01.2016   10:02:20;61,0 dB(A);67,5 dB(A);
;18.01.2016   10:02:21;61,2 dB(A);67,3 dB(A);
;18.01.2016   10:02:22;50,3 dB(A);51,2 dB(A);
;18.01.2016   10:02:23;50,0 dB(A);50,3 dB(A);
;18.01.2016   10:02:24;58,9 dB(A);64,5 dB(A);
;18.01.2016   10:02:25;55,2 dB(A);60,3 dB(A);
;18.01.2016   10:02:26;49,4 dB(A);50,2 dB(A);
;18.01.2016   10:02:27;49,4 dB(A);49,6 dB(A);
;18.01.2016   10:02:28;54,9 dB(A);61,1 dB(A);
;18.01.2016   10:02:29;57,6 dB(A);61,1 dB(A);
;18.01.2016   10:02:30;49,7 dB(A);50,5 dB(A);
;18.01.2016   10:02:31;49,2 dB(A);49,5 dB(A);
;18.01.2016   10:02:32;59,5 dB(A);63,4 dB(A);
;18.01.2016   10:02:33;50,8 dB(A);52,9 dB(A);
;18.01.2016   10:02:34;49,1 dB(A);49,5 dB(A);
;18.01.2016   10:02:35;48,7 dB(A);49,0 dB(A);
;18.01.2016   10:02:36;59,9 dB(A);63,4 dB(A);
;18.01.2016   10:02:37;55,8 dB(A);60,3 dB(A);
;18.01.2016   10:02:38;49,3 dB(A);49,8 dB(A);
;18.01.2016   10:02:39;49,5 dB(A);49,9 dB(A);
;18.01.2016   10:02:40;48,7 dB(A);49,3 dB(A);
;18.01.2016   10:02:41;56,4 dB(A);59,7 dB(A);
;18.01.2016   10:02:42;49,8 dB(A);51,6 dB(A);
;18.01.2016   10:02:43;49,2 dB(A);49,5 dB(A);
;18.01.2016   10:02:44;49,8 dB(A);51,8 dB(A);
;18.01.2016   10:02:45;60,2 dB(A);62,4 dB(A);
;18.01.2016   10:02:46;51,3 dB(A);54,2 dB(A);
;18.01.2016   10:02:47;49,1 dB(A);49,3 dB(A);
;18.01.2016   10:02:48;48,8 dB(A);49,1 dB(A);
;18.01.2016   10:02:49;48,3 dB(A);48,6 dB(A);
;18.01.2016   10:02:50;54,7 dB(A);59,8 dB(A);
;18.01.2016   10:02:51;53,2 dB(A);57,5 dB(A);
;18.01.2016   10:02:52;50,6 dB(A);54,2 dB(A);
;18.01.2016   10:02:53;48,7 dB(A);49,1 dB(A);
;18.01.2016   10:02:54;52,2 dB(A);60,0 dB(A);
;18.01.2016   10:02:55;57,6 dB(A);61,9 dB(A);
;18.01.2016   10:02:56;48,8 dB(A);49,9 dB(A);
;18.01.2016   10:02:57;48,3 dB(A);48,6 dB(A);
;18.01.2016   10:02:58;51,6 dB(A);58,6 dB(A);
;18.01.2016   10:02:59;57,7 dB(A);60,4 dB(A);
;18.01.2016   10:03:01;48,9 dB(A);49,1 dB(A);
;18.01.2016   10:03:02;55,3 dB(A);61,1 dB(A);
